sku,name,short_description,description_html,regular_price,sale_price,categories,tags,image_paths,attributes_json,stock,pack_info,external_url
BON-12805,BOINA OITAVADA LINHO,"Boina oitavada em linho e viscose, leve e fresca para verão","<p>Boina oitavada em linho e viscose, leve e fresca para verão</p><p>Paquet de 24 pcs assorties: 4*Noir, 4*Marine, 5*Gris, 4*Vert, 3*Camel, 4*Beige</p><ul><li><strong>Cor</strong>: Sortido</li><li><strong>Tamanho</strong>: 57 , 59</li><li><strong>Vendido Por</strong>: Pacote 24</li><li><strong>Composição</strong>: 85% Viscose – 15% Linho</li></ul>",27.50,,Chapéus > Boinas > Verão,Verão 2023,images/boinas verão/bone-12805/img_01.jpg | images/boinas verão/bone-12805/img_02.jpg | images/boinas verão/bone-12805/img_03.jpg | images/boinas verão/bone-12805/img_04.jpg | images/boinas verão/bone-12805/img_05.jpg | images/boinas verão/bone-12805/img_06.jpg | images/boinas verão/bone-12805/img_07.jpg | images/boinas verão/bone-12805/img_08.jpg | images/boinas verão/bone-12805/img_09.jpg,"{""Cor"":""Sortido"",""Tamanho"":[""57"",""59""],""Composição"":""85% Viscose – 15% Linho"",""Pack"":""Pacote 24""}",10,Pacote 24,https://hologrammeparis.com/product/casquette-12805/
BON-18110EC-BON-18110OL,BOINA PIEMONTE LINHO E ALGODÃO,"Boina Piemonte em linho e algodão, fabricada na Itália","<p>Boina Piemonte em linho e algodão, fabricada na Itália</p><p>Découvrez notre Casquette - 18110EC au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Cru, Preto, Verde, Azul</li><li><strong>Tamanho</strong>: 54 , 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 50% Algodão – 50% Linho</li></ul>",27.50,,Chapéus > Boinas > Verão,Etiqueta: Fabricado em Italia,images/boinas verão/bone-18110ec-bone-18110ol/img_01.jpg | images/boinas verão/bone-18110ec-bone-18110ol/img_02.jpg | images/boinas verão/bone-18110ec-bone-18110ol/img_03.jpg | images/boinas verão/bone-18110ec-bone-18110ol/img_04.jpg | images/boinas verão/bone-18110ec-bone-18110ol/img_05.jpg | images/boinas verão/bone-18110ec-bone-18110ol/img_06.jpg | images/boinas verão/bone-18110ec-bone-18110ol/img_08.jpg | images/boinas verão/bone-18110ec-bone-18110ol/img_09.jpg,"{""Cor"":[""Cru"",""Preto"",""Verde"",""Azul""],""Tamanho"":[""54"",""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""50% Algodão – 50% Linho"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18110ec/
BON-18474,BOINA SEXTAVADA CORES NA PALA,Boina sextavada com detalhes coloridos na pala,"<p>Boina sextavada com detalhes coloridos na pala</p><p>Découvrez notre Casquette - 18474OL = 18519OL au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Verde, Bege, Azul, Cinza</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 50% Polyester – 50% Viscose</li></ul>",45.00,,Chapéus > Boinas > Verão,BOINA SEXTAVADA CORES NA PALA,images/boinas verão/bone-18474/img_01.jpg | images/boinas verão/bone-18474/img_02.jpg | images/boinas verão/bone-18474/img_03.jpg | images/boinas verão/bone-18474/img_04.jpg | images/boinas verão/bone-18474/img_05.jpg | images/boinas verão/bone-18474/img_06.jpg | images/boinas verão/bone-18474/img_07.jpg | images/boinas verão/bone-18474/img_08.jpg,"{""Cor"":[""Verde"",""Bege"",""Azul"",""Cinza""],""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""50% Polyester – 50% Viscose"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18474ol/
HOLOGRAMME-2,VISEIRA  FEMININA,"COR        
Bege, Castanho, Verde, Azul, Bordo, Marinho

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Pacote 24

COMPOSIÇÃO                
69% Poliéster – 31% Algodão / Forro 100% Algodão","<p>COR        
Bege, Castanho, Verde, Azul, Bordo, Marinho

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Pacote 24

COMPOSIÇÃO                
69% Poliéster – 31% Algodão / Forro 100% Algodão</p><p>Découvrez notre Casquette - 18474OL = 18519OL au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Pink, verde, preto, azul, bege, camel</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 69% Poliéster – 31% Algodão / Forro 100% Algodão</li><li><strong>Vendido Por</strong>: Pacote 24</li></ul>",8.00,,Chapéus > Cowboy,VISEIRA  FEMININA,images/cowboy/hologramme/img_01.jpg | images/cowboy/hologramme/img_02.jpg | images/cowboy/hologramme/img_03.jpg | images/cowboy/hologramme/img_04.jpg,"{""Cor"":[""Pink"",""verde"",""preto"",""azul"",""bege"",""camel""],""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":[""69% Poliéster – 31% Algodão"",""Forro 100% Algodão""],""Pack"":""Pacote 24""}",10,Pacote 24,https://hologrammeparis.com/product/casquette-18474ol/
BON-18107-BON-18515,"Tag: Fabricado na Itália, Linho","COR        
Verde, Azul, Bege

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unidade

COMPOSIÇÃO                
100% Linho","<p>COR        
Verde, Azul, Bege

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unidade

COMPOSIÇÃO                
100% Linho</p><p>Découvrez notre Casquette - E18107BL au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Verde, Azul, Bege</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unidade</li><li><strong>Composição</strong>: 100% Linho</li></ul>",47.50,,Chapéus > Boinas > Verão,"Fabricado na Itália, Linho",images/boinas verão/bone-18107-bone-18515/img_01.jpg | images/boinas verão/bone-18107-bone-18515/img_02.jpg | images/boinas verão/bone-18107-bone-18515/img_03.jpg | images/boinas verão/bone-18107-bone-18515/img_04.jpg | images/boinas verão/bone-18107-bone-18515/img_05.jpg | images/boinas verão/bone-18107-bone-18515/img_06.jpg | images/boinas verão/bone-18107-bone-18515/img_07.jpg | images/boinas verão/bone-18107-bone-18515/img_08.jpg | images/boinas verão/bone-18107-bone-18515/img_09.jpg | images/boinas verão/bone-18107-bone-18515/img_10.jpg,"{""Cor"":[""Verde"",""Azul"",""Bege""],""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100% Linho"",""Pack"":""Unidade""}",10,Unidade,https://hologrammeparis.com/product/casquette-e18107bl/
BON-18521A,BOINA PIEMONTE ALGODÃO,"Boina Piemonte em algodão, fabricada na Itália","<p>Boina Piemonte em algodão, fabricada na Itália</p><p>Découvrez notre Casquette - 18521A au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Azul, Bege, Marinho</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unidade</li><li><strong>Composição</strong>: 100% Algodão</li></ul>",35.00,,Chapéus > Boinas > Verão,"Fabricado na Itália, Algodão",images/boinas verão/bone-18521a/img_01.jpg | images/boinas verão/bone-18521a/img_02.jpg | images/boinas verão/bone-18521a/img_03.jpg | images/boinas verão/bone-18521a/img_04.jpg,"{""Cor"":[""Azul"",""Bege"",""Marinho""],""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100% Algodão"",""Pack"":""Unidade""}",10,Unidade,https://hologrammeparis.com/fr/product/casquette-18521a/
BON-15266F-BON-15266C,BOINA SEXTAVADA ALGODÃO,"Boina sextavada em algodão, leve e versátil","<p>Boina sextavada em algodão, leve e versátil</p><p>Paquet de 24 pcs assorties: 2 de chaque couleur</p><ul><li><strong>Couleur</strong>: Assorties</li><li><strong>Taille</strong>: 57, 59</li><li><strong>Vendu Par</strong>: Pack 24</li><li><strong>Composition</strong>: 100% Coton</li></ul>",16.90,,Chapéus > Boinas > Verão,"verão, cotton",images/boinas verão/bone-15266f-bone-15266c/img_01.jpg | images/boinas verão/bone-15266f-bone-15266c/img_02.jpg | images/boinas verão/bone-15266f-bone-15266c/img_03.jpg | images/boinas verão/bone-15266f-bone-15266c/img_04.jpg | images/boinas verão/bone-15266f-bone-15266c/img_05.jpg | images/boinas verão/bone-15266f-bone-15266c/img_06.jpg | images/boinas verão/bone-15266f-bone-15266c/img_07.jpg | images/boinas verão/bone-15266f-bone-15266c/img_08.jpg | images/boinas verão/bone-15266f-bone-15266c/img_09.jpg | images/boinas verão/bone-15266f-bone-15266c/img_10.jpg | images/boinas verão/bone-15266f-bone-15266c/img_11.jpg | images/boinas verão/bone-15266f-bone-15266c/img_12.jpg | images/boinas verão/bone-15266f-bone-15266c/img_13.jpg | images/boinas verão/bone-15266f-bone-15266c/img_14.jpg | images/boinas verão/bone-15266f-bone-15266c/img_15.jpg | images/boinas verão/bone-15266f-bone-15266c/img_16.jpg | images/boinas verão/bone-15266f-bone-15266c/img_17.jpg | images/boinas verão/bone-15266f-bone-15266c/img_18.jpg | images/boinas verão/bone-15266f-bone-15266c/img_19.jpg | images/boinas verão/bone-15266f-bone-15266c/img_20.jpg | images/boinas verão/bone-15266f-bone-15266c/img_21.jpg | images/boinas verão/bone-15266f-bone-15266c/img_22.jpg | images/boinas verão/bone-15266f-bone-15266c/img_23.jpg | images/boinas verão/bone-15266f-bone-15266c/img_24.jpg | images/boinas verão/bone-15266f-bone-15266c/img_25.jpg | images/boinas verão/bone-15266f-bone-15266c/img_26.jpg | images/boinas verão/bone-15266f-bone-15266c/img_27.jpg | images/boinas verão/bone-15266f-bone-15266c/img_28.jpg | images/boinas verão/bone-15266f-bone-15266c/img_29.jpg | images/boinas verão/bone-15266f-bone-15266c/img_30.jpg | images/boinas verão/bone-15266f-bone-15266c/img_31.jpg | images/boinas verão/bone-15266f-bone-15266c/img_32.jpg | images/boinas verão/bone-15266f-bone-15266c/img_33.jpg | images/boinas verão/bone-15266f-bone-15266c/img_34.jpg,{},10,,https://hologrammeparis.com/fr/product/casquette-15266f/
BON-18161N-BON-18161M,BOINA SEXTAVADA PELE,"Cor: Preto, Marrom","<p>Découvrez notre Casquette - 18161N au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Preto, Marrom</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% couro de vaca</li></ul>",89.90,,Acessórios > Artigos em Pele,"Fabricado na Itália, pele genuina",images/artigos em pele/bone-18161n-bone-18161m/img_01.jpg,"{""Cor"":[""Preto"",""Marrom""],""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100% couro de vaca"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18161n/
GANTS-17120,LUVAS FEMININAS,"Couleur: Bordeaux, Gris, Marine, Marron, Moutarde, Noir, Orange, Rouge, Taupe","<p>Découvrez notre Gants en cuir classique - 17120 au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Couleur</strong>: Bordeaux, Gris, Marine, Marron, Moutarde, Noir, Orange, Rouge, Taupe</li><li><strong>Taille</strong>: 6.5, 7, 7.5, 8</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100% Cuir de Vachette</li></ul>",35.00,,Acessórios > Artigos em Pele,Etiqueta: LUVAS,images/artigos em pele/gants-17120/img_01.jpg,{},10,,https://hologrammeparis.com/product/gants-17120n/?attribute_pa_couleur=marron
GANTS-17119,LUVAS MASCULINAS,"Couleur: Camel, Marine, Marron, Noir","<p>Découvrez notre Gants en cuir classique - 17119 au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Couleur</strong>: Camel, Marine, Marron, Noir</li><li><strong>Taille</strong>: 8, 8.5, 9, 9.5</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100% Cuir d&#x27;Ovin / Doublure : 100% Polyester</li></ul>",35.00,,Acessórios > Artigos em Pele,Etiqueta: LUVAS,images/artigos em pele/gants-17119/img_01.jpg,{},10,,https://hologrammeparis.com/product/gants-17119n/
PORTE-MONNAIE-5657,CARTEIRAS,"Couleur: Bleu, Bordeaux, Cognac, Marron, Noir, Taupe","<p>Découvrez notre Porte-Monnaie - 5657 au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Couleur</strong>: Bleu, Bordeaux, Cognac, Marron, Noir, Taupe</li><li><strong>Vendu Par</strong>: Unitaire</li></ul>",35.00,,Acessórios > Artigos em Pele,CARTEIRAS,images/artigos em pele/porte-monnaie-5657/img_01.jpg,{},10,,https://hologrammeparis.com/product/porte-monnaie-5657/
VELEN,CHAPÉU TIROLÊS EM CORTIÇA,Couleur: Natural,"<p>Boné Vegan estilo basebol de cortiça. 100% Eco-Friendly, produzido em Portugal. Leve,  prático e resistente. Montado - Cortiça com Arte.</p><ul><li><strong>Couleur</strong>: Natural</li><li><strong>Taille</strong>: 54, 55 , 56 , 57 , 58 , 59 , 60 , 61, 62, 63</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100%</li><li><strong>Cor</strong>: Natural</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 100%</li><li><strong>Vendido Por</strong>: Unitário</li></ul>",45.00,,Chapéus > Cortiça,"Chapéu tirolês em cortiça. Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu tirolês, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.",images/cortiça/velen/img_01.jpg,"{""Cor"":""Natural"",""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100%"",""Pack"":""Unitário""}",10,Unitário,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica
VELEN-2,CHAPÉU TIROLÊS EM CORTIÇA,Couleur: Natural,"<p>Boné Vegan estilo basebol de cortiça. 100% Eco-Friendly, produzido em Portugal. Leve,  prático e resistente. Montado - Cortiça com Arte.</p><ul><li><strong>Couleur</strong>: Natural</li><li><strong>Taille</strong>: 54, 55 , 56 , 57 , 58 , 59 , 60 , 61, 62, 63</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100%</li><li><strong>Cor</strong>: Natural</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 100%</li><li><strong>Vendido Por</strong>: Unitário</li></ul>",45.00,,Chapéus > Cortiça,"Chapéu tirolês em cortiça. Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu tirolês, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.",images/cortiça/velen/img_01.jpg,"{""Cor"":""Natural"",""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100%"",""Pack"":""Unitário""}",10,Unitário,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica
VELEN-3,CHAPÉU TIROLÊS EM CORTIÇA,Couleur: Natural,"<p>Boné Vegan estilo basebol de cortiça. 100% Eco-Friendly, produzido em Portugal. Leve,  prático e resistente. Montado - Cortiça com Arte.</p><ul><li><strong>Couleur</strong>: Natural</li><li><strong>Taille</strong>: 54, 55 , 56 , 57 , 58 , 59 , 60 , 61, 62, 63</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100%</li><li><strong>Cor</strong>: Natural</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 100%</li><li><strong>Vendido Por</strong>: Unitário</li></ul>",45.00,,Chapéus > Cortiça,"Chapéu tirolês em cortiça. Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu tirolês, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.",images/cortiça/velen/img_01.jpg,"{""Cor"":""Natural"",""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100%"",""Pack"":""Unitário""}",10,Unitário,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica
VELEN-4,CHAPÉU TIROLÊS EM CORTIÇA,Couleur: Natural,"<p>Boné Vegan estilo basebol de cortiça. 100% Eco-Friendly, produzido em Portugal. Leve,  prático e resistente. Montado - Cortiça com Arte.</p><ul><li><strong>Couleur</strong>: Natural</li><li><strong>Taille</strong>: 54, 55 , 56 , 57 , 58 , 59 , 60 , 61, 62, 63</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100%</li><li><strong>Cor</strong>: Natural</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 100%</li><li><strong>Vendido Por</strong>: Unitário</li></ul>",45.00,,Chapéus > Cortiça,"Chapéu tirolês em cortiça. Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu tirolês, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.",images/cortiça/velen/img_01.jpg,"{""Cor"":""Natural"",""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100%"",""Pack"":""Unitário""}",10,Unitário,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica
VELEN-5,CHAPÉU TIROLÊS EM CORTIÇA,Couleur: Natural,"<p>Boné Vegan estilo basebol de cortiça. 100% Eco-Friendly, produzido em Portugal. Leve,  prático e resistente. Montado - Cortiça com Arte.</p><ul><li><strong>Couleur</strong>: Natural</li><li><strong>Taille</strong>: 54, 55 , 56 , 57 , 58 , 59 , 60 , 61, 62, 63</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100%</li><li><strong>Cor</strong>: Natural</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 100%</li><li><strong>Vendido Por</strong>: Unitário</li></ul>",45.00,,Chapéus > Cortiça,"Chapéu tirolês em cortiça. Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu tirolês, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.",images/cortiça/velen/img_01.jpg,"{""Cor"":""Natural"",""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100%"",""Pack"":""Unitário""}",10,Unitário,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica
VELEN-6,CHAPÉU TIROLÊS EM CORTIÇA,Couleur: Natural,"<p>Boné Vegan estilo basebol de cortiça. 100% Eco-Friendly, produzido em Portugal. Leve,  prático e resistente. Montado - Cortiça com Arte.</p><ul><li><strong>Couleur</strong>: Natural</li><li><strong>Taille</strong>: 54, 55 , 56 , 57 , 58 , 59 , 60 , 61, 62, 63</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100%</li><li><strong>Cor</strong>: Natural</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 100%</li><li><strong>Vendido Por</strong>: Unitário</li></ul>",45.00,,Chapéus > Cortiça,"Chapéu tirolês em cortiça. Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu tirolês, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.",images/cortiça/velen/img_01.jpg,"{""Cor"":""Natural"",""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100%"",""Pack"":""Unitário""}",10,Unitário,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica
VELEN-7,CHAPÉU TIROLÊS EM CORTIÇA,Couleur: Natural,"<p>Boné Vegan estilo basebol de cortiça. 100% Eco-Friendly, produzido em Portugal. Leve,  prático e resistente. Montado - Cortiça com Arte.</p><ul><li><strong>Couleur</strong>: Natural</li><li><strong>Taille</strong>: 54, 55 , 56 , 57 , 58 , 59 , 60 , 61, 62, 63</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100%</li><li><strong>Cor</strong>: Natural</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 100%</li><li><strong>Vendido Por</strong>: Unitário</li></ul>",45.00,,Chapéus > Cortiça,"Chapéu tirolês em cortiça. Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu tirolês, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.",images/cortiça/velen/img_01.jpg,"{""Cor"":""Natural"",""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100%"",""Pack"":""Unitário""}",10,Unitário,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica
VELEN-8,CHAPÉU TIROLÊS EM CORTIÇA,Couleur: Natural,"<p>Boné Vegan estilo basebol de cortiça. 100% Eco-Friendly, produzido em Portugal. Leve,  prático e resistente. Montado - Cortiça com Arte.</p><ul><li><strong>Couleur</strong>: Natural</li><li><strong>Taille</strong>: 54, 55 , 56 , 57 , 58 , 59 , 60 , 61, 62, 63</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100%</li><li><strong>Cor</strong>: Natural</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 100%</li><li><strong>Vendido Por</strong>: Unitário</li></ul>",45.00,,Chapéus > Cortiça,"Chapéu tirolês em cortiça. Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu tirolês, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.",images/cortiça/velen/img_01.jpg,"{""Cor"":""Natural"",""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100%"",""Pack"":""Unitário""}",10,Unitário,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica
CHAPKA-6064,GORRO USHANKA,"Cor: Bege , Camelo , Cáqui , Marrom , Preto","<p>Hologramme est un grossiste de Toques et Chapkas avec 40 ans d’expérience. Découvrez nos collections de chapeaux en fourrure au tarif de gros.</p><ul><li><strong>Cor</strong>: Bege , Camelo , Cáqui , Marrom , Preto</li><li><strong>Tamanho</strong>: 57 , 59</li><li><strong>Vendido Por</strong>: Pacote 12</li><li><strong>Composição</strong>: 100% Poliéster / Forro: 100% Poliéster</li></ul>",1.00,,Chapéus > Gorros,Fabricado na China,images/gorros/chapka-6064/img_01.jpg,"{""Cor"":[""Bege"",""Camelo"",""Cáqui"",""Marrom"",""Preto""],""Tamanho"":[""57"",""59""],""Composição"":[""100% Poliéster"",""Forro: 100% Poliéster""],""Pack"":""Pacote 12""}",10,Pacote 12,https://hologrammeparis.com/product-category/chapellerie/collection-hiver/chapeaux-hiver/toques-chapkas/
CHAP-U-49171,CHAPÉU CHAPKA,"Cor: Bege , Azul Claro , Borgonha , Cinza , Marinho , Marrom , Mostarda , Preto , Laranja , Rosa , Vermelho , Verde","<p>Fausse fourrure en 100% Modacrylique</p><ul><li><strong>Cor</strong>: Bege , Azul Claro , Borgonha , Cinza , Marinho , Marrom , Mostarda , Preto , Laranja , Rosa , Vermelho , Verde</li><li><strong>Composição</strong>: 100% modacrílica</li></ul>",3.00,,Chapéus > Gorros,Etiqueta: Fabricado em Portugal,images/gorros/chapeu-49171/img_01.jpg,"{""Cor"":[""Bege"",""Azul Claro"",""Borgonha"",""Cinza"",""Marinho"",""Marrom"",""Mostarda"",""Preto"",""Laranja"",""Rosa"",""Vermelho"",""Verde""],""Composição"":""100% modacrílica""}",10,,https://hologrammeparis.com/product/toque-49171-simili-cuir/?attribute_pa_couleur=rouge-noir
CHAP-U-49171-2,CHAPÉU CHAPKA,"Cor: Bege , Azul Claro , Borgonha , Cinza , Marinho , Marrom , Mostarda , Preto , Laranja , Rosa , Vermelho , Verde","<p>Fausse fourrure en 100% Modacrylique</p><ul><li><strong>Cor</strong>: Bege , Azul Claro , Borgonha , Cinza , Marinho , Marrom , Mostarda , Preto , Laranja , Rosa , Vermelho , Verde</li><li><strong>Composição</strong>: 100% modacrílica</li></ul>",3.00,,Chapéus > Gorros,Etiqueta: Fabricado em Portugal,images/gorros/chapeu-49171/img_01.jpg,"{""Cor"":[""Bege"",""Azul Claro"",""Borgonha"",""Cinza"",""Marinho"",""Marrom"",""Mostarda"",""Preto"",""Laranja"",""Rosa"",""Vermelho"",""Verde""],""Composição"":""100% modacrílica""}",10,,https://hologrammeparis.com/product/toque-49171-simili-cuir/?attribute_pa_couleur=rouge-noir
BONNET-PIERRE-CARDIN,Bonnet – Pierre Cardin,"Cor: Branco, Camelo, Cinza, Preto","<p>Découvrez notre Bonnet - Pierre Cardin au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Branco, Camelo, Cinza, Preto</li><li><strong>Tamanho</strong>: Tamanho Único</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Acrílico / Forro: 100% Poliéster</li></ul>",0.20,,Chapéus > Gorros,"Gorro da marca Pierre Cardin, com uma textura suave e simples.

Possui um grande reverso e exibe um emblema branco com o logo distintivo de Pierre Cardin, com um grande “P” estilizado em preto e a assinatura abaixo

Fabricado em um material quente e confortável, perfeito para um visual sóbrio de inverno.",images/gorros/bonnet-pierre-cardin/img_01.jpg | images/gorros/bonnet-pierre-cardin/img_02.jpg | images/gorros/bonnet-pierre-cardin/img_03.jpg,"{""Cor"":[""Branco"",""Camelo"",""Cinza"",""Preto""],""Tamanho"":""Tamanho Único"",""Composição"":[""100% Acrílico"",""Forro: 100% Poliéster""],""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/fr/product/bonnet-pierre-cardin-bonnet/
