sheet,index,brand,name,info,sku,price,details,links
CERIMÓNIA,6,HOLOGRAMME,BONÉS DE VERÃO PARA MULHERES,,Boné – 2018016,,"Etiqueta: Fabricado na China
Boné – 2018016
COR        
Bordeaux , Coral , Cru , Cinza , Cáqui , Preto

TAMANHO        
55 , 57

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
100% Algodão / Forro: 100% Poliéster
Pacote de 24 peças variadas:
3*Cáqui, 5*Preto, 3*Bordeaux, 3*Azul, 2*Laranja, 4*Cinza, 4*Bege",https://hologrammeparis.com/product/casquette-2018016/
CERIMÓNIA,7,HOLOGRAMME,BONÉS DE VERÃO PARA MULHERES,,Viseira – 23119,,"Etiqueta: Fabricado na China
Viseira – 23119
SIZE	
One size adjustable
COR        
Bege , Bordéus , Marinho , Preto , Rosa , Vermelho

VENDIDO POR        
Pacote 15

COMPOSIÇÃO        
100% Papel
Pacote de 30 peças variadas:
2*Rosa, 5*Laranja, 5*Roxo, 6*Azul, 6*Bege, 6*Preto",https://hologrammeparis.com/product/visiere-23119/
CERIMÓNIA,13,HOLOGRAMME,BONÉS DE INVERNO PARA MULHERES,,Boné – 2018039,,"NÃO TEM MAIS NO ESTOQUE
Boné – 2018039
Tags: Fabricado na China , Mistura de lã
COR	
Azul , Cinza , Cinza Escuro , Preto , Vermelho , Verde

TAMANHO	
56 , 58

VENDIDO POR	
Pacote 12

COMPOSIÇÃO	
5% Acrílico – 7% Fibra – 40% Lã – 48% Poliéster
2*Cinza claro, 
1*Cinza escuro, 
1*Cáqui, 
1*Bordeaux, 
1*Vermelho, 
2*Marinho, 
4*Preto",https://hologrammeparis.com/product/casquette-2018039/
CERIMÓNIA,14,HOLOGRAMME,BONÉS DE INVERNO PARA MULHERES,,Casquette – 22103,,"Casquette – 22103
Tags: Fabricado na China , Mistura de lã
COR        
Preto

TAMANHO        
Unico

COMPOSIÇÃO        
50% Polyester – 50% Laine",https://hologrammeparis.com/product/casquette-22103/
CERIMÓNIA,15,HOLOGRAMME,BONÉS DE INVERNO PARA MULHERES,,Casquette – 12448,,"Casquette – 12448
Fabricado na China, Tamanho ajustável
COR        
2*Mostarda, 2*Marrom, 3*Bordéus, 3*Marinho, 3*Verde, 3*Azul, 3*Taupe, 5*Preto

TAMANHO        
Unico com ajuste (elástico)

COMPOSIÇÃO     
100% PU
2*Mostarda, 2*Marrom, 3*Bordéus, 3*Marinho, 3*Verde, 3*Azul, 3*Taupe, 5*Preto",https://hologrammeparis.com/product/casquette-12448/
CERIMÓNIA,16,HOLOGRAMME,CHAPÉUS DE PALHA FEMININOS,,Palha – 12511,,"Tags: Fabricado na China , Tamanho ajustável
Palha – 12511
Nossa versão Hologram Paris do chapéu de palha em forma de sino.

Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia
COR        
Camel , Cinza , Natural , Preto , Verde

TAMANHO        
Tamanho único

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Palha 100% natural",https://hologrammeparis.com/product/paille-12511/
CERIMÓNIA,17,HOLOGRAMME,CHAPÉUS DE PALHA FEMININOS,,Palha – 12512,,"Tags: Fabricado na China , Tamanho ajustável
Palha – 12512
Nossa versão Hologram Paris do chapéu de palha em forma de sino.

Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia
COR        
Preto, Verde, Natural

TAMANHO        
Tamanho único

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Palha 100% natural",
CERIMÓNIA,18,HOLOGRAMME,CHAPÉUS DE PALHA FEMININOS,,Palha – 12517,,"Tags: Fabricado na China , Tamanho ajustável
Palha – 12517
Nossa versão Hologram Paris do chapéu de palha em forma de sino.

Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia
COR        
Cinza, Verde, Natural

TAMANHO        
Tamanho único

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Palha 100% natural
11*Bege, 7*Camelo, 4*Verde, 4*Cinza, 4*Preto",https://hologrammeparis.com/product/paille-12517/
CERIMÓNIA,19,HOLOGRAMME,CHAPÉUS DE PALHA FEMININOS,,Palha – 937,,"Tags: Fabricado na China , Tamanho ajustável
Palha – 937
COR        
Bege , Cáqui , Marinho , Preto , Laranja , Ferrugem

TAMANHO        
Tamanho único

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Palha 100% natural
12*55, 18*57",https://hologrammeparis.com/product/paille-art-937-241-gros-grain/
CERIMÓNIA,20,HOLOGRAMME,BOINA CLÁSSICA / BERET,,Boina Clássica – 5020,,"Etiqueta: Fabricado na China
Boina Clássica – 5020
Nossa versão holográfica parisiense da “boina lisa clássica”

Sóbrio, intemporal e sem logótipo visível.

75g de lã escovada e raspada
VENDIDO POR	
Unitário

COMPOSIÇÃO	
100% Lã",https://hologrammeparis.com/product/beret-5020/?attribute_pa_couleur=beige-na1302
PALHA,4,HOLOGRAMME,CHAPÉU DE PALHA NATURAL,,Palha – 941216 Couro,35.0,"35
Palha – 941216 Couro
Rótulo: Fabricado na Itália
COR        
Natural

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Pacote 15

COMPOSIÇÃO        
Palha 100% natural
3*55, 4*56, 6*57, 7*58, 5*59, 3*60, 2*61",https://hologrammeparis.com/product/paille-941216-cuir/
PANAMÁ,2,HOLOGRAMME,CHAPEU PANAMÁ,,Panamá – 201754,67.5,"67.5
Panamá – 201754
A versão revisitada do Panamá equatoriano, mais sólida, dobrável e moderna.

Panamá Panasoft em papel 100% japonês .

Fabricado na Itália.
COR        
Branco

TAMANHO        
54, 55 , 56 , 57 , 58 , 59 

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Papel 100% Japonês",https://hologrammeparis.com/product/panama-201754/
PANAMÁ,3,HOLOGRAMME,CHAPEU PANAMÁ ABA CURTA,,Panamá – 201752,67.5,"67.5
Panamá – 201752
A versão revisitada do Panamá equatoriano, mais sólida, dobrável e moderna.

Panamá Panasoft em papel 100% japonês .

Fabricado na Itália.
COR        
Branco, Bege

TAMANHO        
54, 55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Papel 100% Japonês",https://hologrammeparis.com/product/panama-201752-ecru/
PANAMÁ,4,HOLOGRAMME,CHAPEU PANAMÁ AJUSTÁVEL,,Panamá – 931,67.5,"67.5
Panamá – 931
A versão revisitada do Panamá equatoriano, mais sólida, dobrável e moderna.

Panamá Panasoft em papel 100% japonês .

Fabricado na Itália.
COR        
Beige, Kaki, Marine, Noir

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Papel 100% Japonês",https://hologrammeparis.com/product/panama-art-931-japonais/
À PROVA D´ÁGUA,1,HOLOGRAMME,CHAPÉUS ALGODÃO ENCERADO,,Chapéu – 49103,45.0,"45
Chapéu – 49103
Tags: Algodão Oleado , Fabricado em Portugal
COR        
Camelo , Marinho , Marrom , Preto , Ferrugem , Taupe , Verde Escuro

TAMANHO        
55 , 57 , 59 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
100% algodão",https://hologrammeparis.com/product/chapeau-49103/
CHAPÉUS EM TECIDO,1,HOLOGRAMME,BUCKT HAT ALGODÃO,,Bob – 2018121,14.9,"14.9
Bob – 2018121
COR	
Bege Claro , Azul , Borgonha , Camelo , Cinza , Amarelo , Cáqui Claro , Cáqui Escuro , Marinho , Preto , Laranja , Vermelho

TAMANHO	
57 , 59

VENDIDO POR	
Pacote 24

COMPOSIÇÃO	
100% algodão
3*Preto, 3*Marinho, 2*Laranja, 2*Bege, 2*Azul Royal, 2*Mostarda, 2*Cáqui, 2*Cinza, 2*Bordéus, 2*Vermelho, 1*Camelo , 1 * marrom claro",https://hologrammeparis.com/product/bob-2018121/
CHAPÉUS EM TECIDO,4,HOLOGRAMME,CHAPÉU SAFARI,,Bob – 2018120,19.9,"19.9
Bob – 2018120
COR        
Beige Clair, Bleu, Bordeaux, Camel, Gris, Jaune, Kaki Clair, Kaki Fonce, Marine, Noir, Orange, Rouge

TAMANHO        
57 , 59

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
100% algodão
3*Noir, 3*Marine, 2*Kaki, 2*Bordeaux, 2*Rouge, 2*Rouille, 2*Bleu Royal, 2*Gris, 2*Moutarde, 2*Beige, 1*Camel, 1*Marron Clair",https://hologrammeparis.com/product/bob-2018120/
BONÉS,1,HOLOGRAMME,BONÉS CUBANOS,,"Boné – 12614
Boné – 15112",,"Tags: Fabricado na China , Tamanho ajustável
Boné – 12614
Boné – 15112
2*Azul, 2*Mostarda, 2*Vermelho, 2*Cáqui, 4*Preto, 3*Camelo, 3*Cinza, 4*Marinha, 2*Verde, 3 * cinza escuro, 3 * bege, 2 * cáqui, 2 * preto, 2 * verde maçã, 2 * laranja, 2 * marrom 2 * azul, 2 * verde abeto, 2 * vermelho, 2 * Cinza claro
COR        
Azul , Camelo , Cinza , Cáqui , Marinho , Mostarda , Preto , Vermelho , Verde

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
100% algodão","https://hologrammeparis.com/product/casquette-12614/
https://hologrammeparis.com/product/casquette-15165/"
BONÉS,2,HOLOGRAMME,BONÉS CUBANOS,,Boné – 12694,,"Tags: Verão 2022 , Fabricado na China
Boné – 12694
COR	
Sortido

VENDIDO POR	
Pacote 12

COMPOSIÇÃO	
72,2% Algodão – 27,8% Viscose
Pacote de 24 peças variadas:
3 * preto, 3 * marinho, 2 * vermelho, 2 * laranja, 2 * azul, 2 * mostarda, 2 * cáqui, 2 * cinza, 2 * bege, 2 * camelo, 1 * rosa, 1 * cinza escuro",https://hologrammeparis.com/product/casquette-12694/
BONÉS,3,HOLOGRAMME,BONÉS CUBANOS,,Boné – 12849,,"Tags: Verão 2023 , Fabricado na China
Boné – 12849
COR        
Sortido

TAMANHO        
57,5

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
85% Viscose – 15% Linho
Pacote de 24 peças variadas:
3 * preto, 3 * cinza claro, 3 * marinho, 4 * bege, 2 * verde, 2 * vermelho, 2 * amarelo, 2 * cinza escuro, 2 * branco, 1 * mostarda",https://hologrammeparis.com/product/casquette-12849/
BONÉS,4,HOLOGRAMME,BONÉS CUBANOS,,Boné – 15165,,"Tags: Verão 2023 , Fabricado na China
Boné – 15165
COR	
Sortido

TAMANHO	
57,5

VENDIDO POR	
Pacote 24

COMPOSIÇÃO	
98,8% Algodão – 1,2% Viscose
Pacote de 24 peças variadas:
4 * preto, 3 * bege, 3 * marinho, 2 * cinza claro, 2 * cinza escuro, 2 * camelo, 2 * cáqui, 2 * laranja, 2 * mostarda, 2 * branco",https://hologrammeparis.com/product/casquette-15165/
BONÉS,6,HOLOGRAMME,BONÉS CUBANOS,,Boné – 15116,,"Tags: Verão 2023 , Fabricado na China
Boné – 15116
COR	
Sortido

TAMANHO	
57,5

VENDIDO POR	
Pacote 24

COMPOSIÇÃO	
100% algodão
Pacote de 24 peças sortidas:
2 de cada cor",https://hologrammeparis.com/product/casquette-15116/
BONÉS,7,HOLOGRAMME,BONÉS TRUCKER,,Boné Veludo – 22138 (ou 2019110),,"Tags: Fabricado na China
Boné Veludo – 22138 (ou 2019110)
COR        
Sortido , Bege , Bordeaux , Cinza , Azul Marinho , Castanho Claro , Castanho Escuro , Preto , Vermelho

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
100% Poliéster",https://hologrammeparis.com/product/casquette-2019110/?attribute_pa_couleur=noir
BONÉS,8,HOLOGRAMME,BONÉS TRUCKER,,Boné – 22134,,"Tags: Fabricado na China
Boné – 22134
COR        
Sortido , Azul Claro , Borgonha , Camelo , Cinza , Cáqui , Azul Marinho , Mostarda , Preto , Vermelho

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
51,1% Viscose – 48,9% Lã
Pacote de 12 peças variadas:
2*Marinho, 2*Preto, 2*Cinza, 1*Camelo, 1*Bordéus, 1*Vermelho, 1*Cáqui, 1*Azul celeste, 1*Mostarda",https://hologrammeparis.com/product/casquette-22134/?attribute_pa_couleur=noir
BONÉS,9,HOLOGRAMME,BONÉS TRUCKER,,Boné – 22134,,"Tags: Fabricado na China
Boné – 22134
COR	
Bege , Azul , Bordéus , Cru , Cinza Claro , Cinza Escuro , Cáqui , Marinho , Mostarda , Laranja , Rosa , Verde

VENDIDO POR	
Pacote 24

TAMANHO	
57,5

COMPOSIÇÃO	
100% algodão
Pacote de 12 peças variadas:
2*Marinho, 2*Preto, 2*Cinza, 1*Camelo, 1*Bordéus, 1*Vermelho, 1*Cáqui, 1*Azul celeste, 1*Mostarda",https://hologrammeparis.com/product/casquette-2015022/
BONÉS,10,HOLOGRAMME,BONÉS TRUCKER,,Boné – 15263,12.9,"12.9
Boné – 15263
COR        
Beige, Beige Clair, Beige Fonce, Blanc, Bleu Royal, Camel, Gris Fonce, Jean, Kaki, Kaki Clair, Kaki Fonce, Marine, Marron, Marron Clair, Noir, Orange, Rose, Vert

VENDIDO POR        
Pacote por cor ou unidade

TAMANHO        
57,5

COMPOSIÇÃO        
100% algodão",https://hologrammeparis.com/fr/product/casquette-15263/
COWBOY,4,HOLOGRAMME,,,Boné – 15114,,"Tags: Verão 2023 , Fabricado na China
Boné – 15114
COR        
Sortido

TAMANHO        
57 , 59

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
100% algodão
Pacote de 24 peças variadas:
2*Cinza Claro, 3*Bege, 1*Laranja, 4*Azul, 2*Vermelho, 1*Verde Abeto, 2*Bordéus, 2*Cáqui, 3*Cinza Escuro, 4*Preto",https://hologrammeparis.com/product/casquette-15114/
COWBOY,5,HOLOGRAMME,,,"Gorro – Miki 12601
Gorro – 640182503",,"Tags: Fabricado na China
Gorro – Miki 12601
Gorro – 640182503
VENDIDO POR        
Unitário

COMPOSIÇÃO        
100% algodão
COR        
Bege , Bege Escuro , Branco , Azul Claro , Borgonha , Cru , Cinza , Jean Claro , Jean Escuro , Jean Preto , Cáqui , Marinho , Marrom Claro , Mostarda , Preto , Vermelho , Ferrugem , Verde , Verde Escuro,",https://hologrammeparis.com/product/bonnet-miki-12601/?attribute_pa_couleur=beige-fonce
COWBOY,7,HOLOGRAMME,,,Boné – 18110EC,,"Etiqueta: Fabricado em Italia
Boné – 18110EC
COR        
Cru, Preto, Verde, Azul

TAMANHO        
54 , 55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
50% Algodão – 50% Linho",https://hologrammeparis.com/product/casquette-18110ec/
