Sheet,SKU,Nome,Preço,Descrição curta,Descrição longa,Tags,Cor,Tamanho,Composição,Pack,URL fornecedor,URLs extra,Imagens,Prioridade,Destaque homepage?,Notas internas
ARTIGOS EM PELE,Gants – 17120,LUVAS FEMININAS ,35.0,,Découvrez notre Gants en cuir classique - 17120 au prix de grossiste pour votre boutique sur Hologramme Paris.,Etiqueta: LUVAS,,,,,https://hologrammeparis.com/product/gants-17120n/?attribute_pa_couleur=marron,,images/artigos em pele/gants-17120/img_01.jpg,,,
ARTIGOS EM PELE,Gants – 17119,LUVAS MASCULINAS,35.0,,Découvrez notre Gants en cuir classique - 17119 au prix de grossiste pour votre boutique sur Hologramme Paris.,Etiqueta: LUVAS,,,,,https://hologrammeparis.com/product/gants-17119n/,,images/artigos em pele/gants-17119/img_01.jpg,,,
ARTIGOS EM PELE,Porte-Monnaie – 5657,CARTEIRAS,35.0,,Découvrez notre Porte-Monnaie - 5657 au prix de grossiste pour votre boutique sur Hologramme Paris.,CARTEIRAS,,,,,https://hologrammeparis.com/product/porte-monnaie-5657/,,images/artigos em pele/porte-monnaie-5657/img_01.jpg,,,
ARTIGOS EM PELE,chapeu-australiano,CHAPEU AUSTRALIANO,67.5,,,Fabricado em Portugal,,,,,,,,,,
CORTIÇA,VELEN,BASEBALL CAP,29.9,,"Boné Vegan estilo basebol de cortiça. 100% Eco-Friendly, produzido em Portugal. Leve,  prático e resistente. Montado - Cortiça com Arte.","Boné Vegan estilo basebol de cortiça. Na confeção deste boné não foi usado nenhum material de origem animal. 

- Produto Vegan produzido em Portugal com cortiça Portuguesa. 

- Eco-Friendly, duradouro, repelente da água e suave ao toque.

- Pode ser limpo com água e sabão neutro.",Natural,"55 , 56 , 57 , 58 , 59 , 60 , 61",100%,Unitário,https://www.montado.pt/produto/bone-de-cortica-natural,,images/cortiça/velen/img_01.jpg,,,
CORTIÇA,VELEN,BOINA COM REDE,35.0,,,"Boina bico de pato com rede lateral, em cortiça. Na confecção desta boina não foi usado nenhum material de origem animal.

– Boina bico de pato, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.",,,,,https://vips-velen.pt/?product=boina-bico-de-pato-com-rede-lateral-em-cortica,,,,,
CORTIÇA,VELEN,BOINA CORTIÇA,Etiqueta: Fabricado em Portugal,,,"Boina bico de pato com rede lateral, em cortiça. Na confecção desta boina não foi usado nenhum material de origem animal.

– Boina bico de pato, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.",,,,,https://vips-velen.pt/?product=boina-bico-de-pato-com-rede-lateral-em-cortica,,,,,
CORTIÇA,VELEN,CHAPEU COWBOY EM CORTIÇA,65.0,,,"Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu cowboy, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.",,,,,https://vips-velen.pt/?product=chapeu-cowboy-em-cortica,,,,,
CORTIÇA,VELEN,PANAMA EM CORTIÇA,35.0,,,"Panamá em cortiça. Na confecção deste panamá não foi usado nenhum material de origem animal.

– Panamá, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.",,,,,https://vips-velen.pt/?product=panama-em-cortica,,,,,
CORTIÇA,VELEN,CHAPÉU DE COWBOY EM CORTIÇA COM REDE,59.9,,,"Chapéu de cowboy com rede, base em cortiça e acabamentos em pele genuína e algodão.

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.",,,,,https://vips-velen.pt/?product=chapeu-de-cowboy-em-cortica-com-rede-beige,,,,,
CORTIÇA,VELEN,CHAPÉU DE COWBOY EM CORTIÇA COM REDE,35.0,,,"Chapéu safari em cortiça. Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu safari, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.",,,,,https://vips-velen.pt/?product=chapeu-safari-em-cortica,,,,,
CORTIÇA,VELEN,CHAPÉU TIROLÊS EM CORTIÇA,45.0,,,"Chapéu tirolês em cortiça. Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu tirolês, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.",,,,,https://vips-velen.pt/?product=chapeu-tiroles-em-cortica,,,,,
GORROS,Chapka – 6064,GORRO USHANKA,1.0,,Hologramme est un grossiste de Toques et Chapkas avec 40 ans d’expérience. Découvrez nos collections de chapeaux en fourrure au tarif de gros.,Fabricado na China,"Bege , Camelo , Cáqui , Marrom , Preto","57 , 59",100% Poliéster / Forro: 100% Poliéster,Pacote 12,https://hologrammeparis.com/product-category/chapellerie/collection-hiver/chapeaux-hiver/toques-chapkas/,,images/gorros/chapka-6064/img_01.jpg,,,
GORROS,Chapéu – 49171,CHAPÉU CHAPKA IMPERMEÁVEL,2.0,,Fausse fourrure en 100% Modacrylique Nous essayons de mettre 6 couleurs différentes par pack.,Etiqueta: Fabricado em Portugal,"Branco, Preto",,100% modacrílica,,https://hologrammeparis.com/product/toque-49171-polaire/,,images/gorros/chapeu-49171/img_20.jpg,,,
GORROS,Chapéu – 49171,CHAPÉU CHAPKA ,3.0,,Fausse fourrure en 100% Modacrylique,Etiqueta: Fabricado em Portugal,"Bege , Azul Claro , Borgonha , Cinza , Marinho , Marrom , Mostarda , Preto , Laranja , Rosa , Vermelho , Verde",,100% modacrílica,,https://hologrammeparis.com/product/toque-49171-simili-cuir/?attribute_pa_couleur=rouge-noir,,images/gorros/chapeu-49171/img_01.jpg,,,
GORROS,bonnet-pierre-cardin,Bonnet – Pierre Cardin,"Étiquettes : Fabriqué en Chine, Hiver 2024",,Découvrez notre Bonnet - Pierre Cardin au prix de grossiste pour votre boutique sur Hologramme Paris.,"Gorro da marca Pierre Cardin, com uma textura suave e simples.

Possui um grande reverso e exibe um emblema branco com o logo distintivo de Pierre Cardin, com um grande “P” estilizado em preto e a assinatura abaixo

Fabricado em um material quente e confortável, perfeito para um visual sóbrio de inverno.","Branco, Camelo, Cinza, Preto",Tamanho Único,100% Acrílico / Forro: 100% Poliéster,Unitário,https://hologrammeparis.com/fr/product/bonnet-pierre-cardin-bonnet/,,"images/gorros/bonnet-pierre-cardin/img_01.jpg, images/gorros/bonnet-pierre-cardin/img_02.jpg, images/gorros/bonnet-pierre-cardin/img_03.jpg",,,
CHAPÉUS LÃ,"Tags: Fabricado na Itália , Lã Pura",CHAPEU FEDORA INDIANA,35.0,,"Notre version Hologramme Paris du ""Fedora classique"" Chapeau avec une ceinture contrastante marron, 100 g de pure laine. Sobre et sans logo apparent. 100% Laine et fabrication italienne","Nossa versão Hologram Paris do “Fedora clássico”

Chapéu com faixa marrom contrastante, 100 g de pura lã.

Sóbrio e sem logótipo visível.

100% lã e fabricação italiana",Sortido,"55 , 56 , 57 , 58 , 59 , 60 , 61 , 62",100% Lã,Pacote 12,https://hologrammeparis.com/product/chapeau-art-02-pack-12/,,images/chapéus lã/tags-fabricado-na-italia-la-pura/img_01.jpg,,,
CHAPÉUS LÃ,"Tags: Fabricado na Itália , Lã Pura

",CHAPEU FEDORA ,35.0,,"Notre version Hologramme Paris du ""Fedora classique"" Chapeau avec un Ruban ton sur ton, 100 g de pure laine. Sobre et sans logo apparent.","Nossa versão Hologram Paris do “Fedora clássico”

Chapéu com fita tom sobre tom, 100 g de pura lã.

Sóbrio e sem logótipo visível.

100% lã e fabricação italiana",Sortido,"55 , 56 , 57 , 58 , 59 , 60 , 61 , 62",100% Lã,Pacote 12,https://hologrammeparis.com/product/chapeau-art-01-gros-grain-pack-12/,,images/chapéus lã/tags-fabricado-na-italia-la-pura/img_01.jpg,,,
CHAPÉUS LÃ,"Chapéu Impermeável – Art 181054 (Pack 12)

Tags: Fabricado na Itália , Lã Esmagável Impermeável",CHAPÉUS DE LÃ ITALIANA,67.5,"2*55, 2*56, 3*57, 3*58, 2*59 (ou 1*60 e 2*58)","Notre version Hologramme Paris du ""Fedora imperméable et indéformable"" Chapeau avec une ceinture marron, 100 g de pure laine Waterproof Crushable.","Fabricado na Itália, Lã, Esmagável, Impermeável",Sortido,"55 , 56 , 57 , 58 , 59 , 60",100% Lã,Pacote 12,https://hologrammeparis.com/product/chapeau-waterproof-art-181054-pack-12/,,images/chapéus lã/chapeu-impermeavel-art-181054-pack-12-tags-fabricado-na-italia-la-esmagavel-impermeavel/img_01.jpg,,,
CHAPÉUS LÃ,Chapéu – Art 970 (Pack 12),CHAPÉU DE LÃ TRILBY,29.9,,"Paquet de 12 pcs assorties: 2*55, 2*56, 3*57, 3*58, 2*59 (ou 1*60 et 2*58) Pour l’achat à l’unité de ce produit, c’est ici: https://hologrammeparis.com/product/chapeau-art-970/","Fabricado na Itália, Lã Pura",Sortido,"54, 55 , 56 , 57 , 58 , 59 , 60",100% Lã,Pacote 12,https://hologrammeparis.com/product/chapeau-art-970-pack-12/,,images/chapéus lã/chapeu-art-970-pack-12/img_01.jpg,,,
CHAPÉUS LÃ,"Chapéu Impermeável – Art 181056

Tags: Fabricado na Itália , Lã,  Esmagável,  Impermeável",CHAPÉUS DE LÃ IMPERMEÁVEL,49.9,,"Paquet de 12 pcs assorties: 2*55, 2*56, 3*57, 3*58, 2*59 (ou 1*60 et 2*58) Pour l’achat à l’unité de ce produit, c’est ici: https://hologrammeparis.com/product/chapeau-art-181056/",CHAPÉUS DE LÃ IMPERMEÁVEL,Sortido,"55 , 56 , 57 , 58 , 59 , 60",100% Lã,Pacote 12,https://hologrammeparis.com/product/chapeau-waterproof-art-181056-pack-12/,,images/chapéus lã/chapeu-impermeavel-art-181056-tags-fabricado-na-italia-la-esmagavel-impermeavel/img_01.jpg,,,
DIVERSOS,"chapeu colonial
pith helmet",CHAPEU COLONIAL,45.0,,,CHAPEU COLONIAL,"Verde, bege, castanho claro, castanho",unico com ajuste,1-tecido externo e plástico interno ou 2-papel,,,,,,,
FEMININO,Boné – 13156,BONÉS DE INVERNO PARA MULHERES,"Tag: Mistura de angorá , Fabricado na China , Inverno 2022",,"Paquet de 12 pcs assorties: 4*Noir, 2*Gris + 1 de chaque couleur",BONÉS DE INVERNO PARA MULHERES,,,,,https://hologrammeparis.com/product/casquette-13156/,,"images/feminino/bone-13156/img_01.jpg, images/feminino/bone-13156/img_02.jpg, images/feminino/bone-13156/img_03.jpg, images/feminino/bone-13156/img_04.jpg, images/feminino/bone-13156/img_05.jpg, images/feminino/bone-13156/img_06.jpg, images/feminino/bone-13156/img_07.jpg, images/feminino/bone-13156/img_08.jpg, images/feminino/bone-13156/img_09.jpg, images/feminino/bone-13156/img_10.jpg",,,
FEMININO,Boné – 12463,BONÉS DE INVERNO PARA MULHERES,Etiqueta: Fabricado na China,,"Paquet de 24 pcs assorties: 9*Beige, 7*Gris, 8*Noir",BONÉS DE INVERNO PARA MULHERES,"Cru , Cinza , Preto",,50% Lã – 50% PU Sintético,Pacote 24,https://hologrammeparis.com/product/casquette-12463/,,images/feminino/bone-12463/img_01.jpg,,,
FEMININO,Palha – 12403, CHAPÉUS DE PALHA FEMININOS,3.0,,,"Fabricado na China, Tamanho ajustável","Camel , Marrom , Mostarda , Rosa , Verde",Tamanho único,,Pacote 15,https://hologrammeparis.com/product/paille-12403/,,,,,
FEMININO,Palha – 12673,CHAPÉUS DE PALHA FEMININOS,"Tags: Fabricado na China , Tamanho ajustável",,Découvrez notre Paille - 12673 au prix de grossiste pour votre boutique sur Hologramme Paris.,"Nossa versão Hologram Paris do chapéu de palha em forma de sino.

Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia","Natural, Preto",Tamanho único,Palha 100% natural,Unitário,https://hologrammeparis.com/product/paille-12673/,,"images/feminino/palha-12673/img_01.jpg, images/feminino/palha-12673/img_02.jpg, images/feminino/palha-12673/img_03.jpg, images/feminino/palha-12673/img_04.jpg, images/feminino/palha-12673/img_05.jpg, images/feminino/palha-12673/img_06.jpg",,,
FEMININO,Boné – 12625,BOINA COM PALA ALGODÃO,24.9,,"Paquet de 24 pcs assorties: 2*Rouge, 2*Vert, 2*Bleu Ciel, 4*Camel, 4*Ecru, 3*Blanc, 3*Beige, 3*Marine, 1*Gris",BOINA COM PALA ALGODÃO,"Bege , Branco , Camelo , Cinza , Marinho , Vermelho","56 , 58",7% Viscose – 33% Algodão – 60% Poliéster,Pacote 24,https://hologrammeparis.com/product/casquette-12625/,,"images/feminino/bone-12625/img_03.jpg, images/feminino/bone-12625/img_04.jpg, images/feminino/bone-12625/img_05.jpg, images/feminino/bone-12625/img_06.jpg, images/feminino/bone-12625/img_07.jpg, images/feminino/bone-12625/img_08.jpg, images/feminino/bone-12625/img_10.jpg",,,
FEMININO,Boné – 2018016,BONÉS DE VERÃO PARA MULHERES,Etiqueta: Fabricado na China,,,BONÉS DE VERÃO PARA MULHERES,"Bordeaux ,","55 , 57",100% Algodão / Forro: 100% Poliéster,Pacote 24,https://hologrammeparis.com/product/casquette-2018016/,,,,,
FEMININO,Viseira – 23119,BONÉS DE VERÃO PARA MULHERES,Etiqueta: Fabricado na China,,"Paquet de 30 pcs assorties: 2*Rose, 5*Orange, 5*Violet, 6*Bleu, 6*Beige, 6*Noir","SIZE	
One size adjustable","Bege , Bordéus , Marinho , Preto , Rosa , Vermelho",,100% Papel,Pacote 15,https://hologrammeparis.com/product/visiere-23119/,,images/feminino/viseira-23119/img_01.jpg,,,
FEMININO,Boné – 2018039,BOINA COM PALA INVERNO,NÃO TEM MAIS NO ESTOQUE,,"Paquet de 12 pcs assorties: 2*Gris Clair, 1*Gris Fonce, 1*Kaki, 1*Bordeaux, 1*Rouge, 2*Marine, 4*Noir","Fabricado na China, Mistura de lã","Azul , Cinza , Cinza Escuro , Preto , Vermelho , Verde","56 , 58",5% Acrílico – 7% Fibra – 40% Lã – 48% Poliéster,Pacote 12,https://hologrammeparis.com/product/casquette-2018039/,,"images/feminino/bone-2018039/img_01.jpg, images/feminino/bone-2018039/img_02.jpg, images/feminino/bone-2018039/img_03.jpg, images/feminino/bone-2018039/img_04.jpg",,,
FEMININO,Casquette – 22103,BOINA COM PALA INVERNO,24.9,,Paquet de 24 pcs assorties: 2 pcs de chaque couleur,"Fabricado na China, Mistura de lã",Sortidas,"56, 58",50% Polyester – 50% Laine,,https://hologrammeparis.com/product/casquette-22103/,,"images/feminino/casquette-22103/img_01.jpg, images/feminino/casquette-22103/img_02.jpg, images/feminino/casquette-22103/img_03.jpg, images/feminino/casquette-22103/img_04.jpg",,,
FEMININO,Casquette – 12448,BONÉS DE INVERNO PARA MULHERES,15.0,,"Paquet de 24 pcs assorties: 2*Moutarde, 2*Marron, 3*Bordeaux, 3*Marine, 3*Vert, 3*Bleu, 3*Taupe, 5*Noir","Fabricado na China, Tamanho ajustável","2*Mostarda, 2*Marrom, 3*Bordéus, 3*Marinho, 3*Verde, 3*Azul, 3*Taupe, 5*Preto",Unico com ajuste (elástico),100% PU,,https://hologrammeparis.com/product/casquette-12448/,,"images/feminino/casquette-12448/img_01.jpg, images/feminino/casquette-12448/img_02.jpg, images/feminino/casquette-12448/img_03.jpg, images/feminino/casquette-12448/img_04.jpg, images/feminino/casquette-12448/img_05.jpg, images/feminino/casquette-12448/img_06.jpg, images/feminino/casquette-12448/img_07.jpg, images/feminino/casquette-12448/img_08.jpg, images/feminino/casquette-12448/img_09.jpg, images/feminino/casquette-12448/img_10.jpg, images/feminino/casquette-12448/img_11.jpg",,,
FEMININO,Palha – 12511,CHAPÉUS DE PALHA FEMININOS,"Tags: Fabricado na China , Tamanho ajustável",,Découvrez notre Paille - 12511 au prix de grossiste pour votre boutique sur Hologramme Paris.,"Nossa versão Hologram Paris do chapéu de palha em forma de sino.

Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia","Camel , Cinza , Natural , Preto , Verde",Tamanho único,Palha 100% natural,Unitário,https://hologrammeparis.com/product/paille-12511/,,"images/feminino/palha-12511/img_09.jpg, images/feminino/palha-12511/img_10.jpg",,,
FEMININO,Palha – 12512,CHAPÉUS DE PALHA FEMININOS,"Tags: Fabricado na China , Tamanho ajustável",,Découvrez notre Paille - 12512 au prix de grossiste pour votre boutique sur Hologramme Paris.,"Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia","Preto, Verde, Natural",Tamanho único,Palha 100% natural,Unitário,https://hologrammeparis.com/product/paille-12512/,,"images/feminino/palha-12512/img_01.jpg, images/feminino/palha-12512/img_02.jpg, images/feminino/palha-12512/img_03.jpg, images/feminino/palha-12512/img_04.jpg",,,
FEMININO,Palha – 12517,CHAPÉUS DE PALHA FEMININOS,"Tags: Fabricado na China , Tamanho ajustável",,"Paquet de 30 pcs assorties: 11*Beige, 7*Camel, 4*Vert, 4*Gris, 4*Noir il reste que du naturel","Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia","Cinza, Verde, Natural",Tamanho único,Palha 100% natural,Unitário,https://hologrammeparis.com/product/paille-12517/,,"images/feminino/palha-12517/img_01.jpg, images/feminino/palha-12517/img_02.jpg, images/feminino/palha-12517/img_03.jpg, images/feminino/palha-12517/img_04.jpg, images/feminino/palha-12517/img_05.jpg, images/feminino/palha-12517/img_06.jpg, images/feminino/palha-12517/img_07.jpg, images/feminino/palha-12517/img_08.jpg, images/feminino/palha-12517/img_09.jpg, images/feminino/palha-12517/img_10.jpg, images/feminino/palha-12517/img_11.jpg, images/feminino/palha-12517/img_12.jpg",,,
FEMININO,Boina Clássica – 5020,BOINA CLÁSSICA / BERET,14.9,,"Notre version Hologramme Paris du ""Béret Uni classique"" Sobre, intemporel et sans logo apparent. 75g de Laine grattée et rasée *les nouvelles couleurs sont à 90% laine.","Nossa versão holográfica parisiense da “boina lisa clássica”

Sóbrio, intemporal e sem logótipo visível.

75g de lã escovada e raspada",,,100% Lã,Unitário,https://hologrammeparis.com/product/beret-5020/?attribute_pa_couleur=beige-na1302,,"images/feminino/boina-classica-5020/img_01.jpg, images/feminino/boina-classica-5020/img_06.jpg, images/feminino/boina-classica-5020/img_07.jpg",,,
FEMININO,"Gorro – 5942F
Bonnet – 5942C",CHAPÉU LÃ HARMONICO,19.9,,"Paquet de 12 pcs assorties: 1*Prune, 2*Bordeaux, 1*Marron, 3*Noir, 1*Camel, 1*Gris Fonce, 2*Marine, 1*Kaki",Lã Pura,Sortido,UNICO,100% Lã,Pacote 12,https://hologrammeparis.com/product/bonnet-5942f/,,images/feminino/gorro-5942f-bonnet-5942c/img_01.jpg,,,
FEMININO,Boné – 22238,BOINA COM PALA PIED POULE,29.9,,"Paquet de 12 pcs assorties: 5*Gris Fonce, 4*Gris Clair, 3*Beige",BOINA COM PALA PIED POULE,Sortido,"56 , 58",50% Lã – 50% Poliéster,Pacote 12,https://hologrammeparis.com/product/casquette-22238/,,"images/feminino/bone-22238/img_01.jpg, images/feminino/bone-22238/img_02.jpg, images/feminino/bone-22238/img_03.jpg, images/feminino/bone-22238/img_04.jpg, images/feminino/bone-22238/img_05.jpg, images/feminino/bone-22238/img_06.jpg",,,
FEMININO,chapeu-cloche,CHAPEU CLOCHE,35.0,,,CHAPEU CLOCHE,DIVERSOS,UNICO AJUSTÁVEL,PAPEL,UNIDADE,,,,,,
CERIMÓNIA,casquete,CASQUETE,1.0,,,COM FITA AJUSTÁVEL,,,,,,,,,,
CERIMÓNIA,chapeu-cerimonia-perolas,CHAPÉU CERIMÓNIA PERÓLAS,2.0,,,COM FITA AJUSTÁVEL,,,,,,,,,,
CERIMÓNIA,chapeu-cerimonia-flores,CHAPÉU CERIMÓNIA FLORES,3.0,,,COM FITA AJUSTÁVEL,,,,,,,,,,
CERIMÓNIA,Palha – 12673,CHAPÉUS DE PALHA FEMININOS,"Tags: Fabricado na China , Tamanho ajustável",,Découvrez notre Paille - 12673 au prix de grossiste pour votre boutique sur Hologramme Paris.,"Nossa versão Hologram Paris do chapéu de palha em forma de sino.

Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia","Natural, Preto",Tamanho único,Palha 100% natural,Unitário,https://hologrammeparis.com/product/paille-12673/,,"images/cerimónia/palha-12673/img_01.jpg, images/cerimónia/palha-12673/img_02.jpg, images/cerimónia/palha-12673/img_03.jpg, images/cerimónia/palha-12673/img_04.jpg, images/cerimónia/palha-12673/img_05.jpg, images/cerimónia/palha-12673/img_06.jpg",,,
CERIMÓNIA,Boné – 12625,BONÉS DE VERÃO PARA MULHERES,Etiqueta: Fabricado na China,,"Paquet de 24 pcs assorties: 2*Rouge, 2*Vert, 2*Bleu Ciel, 4*Camel, 4*Ecru, 3*Blanc, 3*Beige, 3*Marine, 1*Gris",BONÉS DE VERÃO PARA MULHERES,"Bege , Branco , Camelo , Cinza , Marinho , Vermelho","56 , 58",7% Viscose – 33% Algodão – 60% Poliéster,Pacote 24,https://hologrammeparis.com/product/casquette-12625/,,"images/cerimónia/bone-12625/img_03.jpg, images/cerimónia/bone-12625/img_04.jpg, images/cerimónia/bone-12625/img_05.jpg, images/cerimónia/bone-12625/img_06.jpg, images/cerimónia/bone-12625/img_07.jpg, images/cerimónia/bone-12625/img_08.jpg, images/cerimónia/bone-12625/img_10.jpg",,,
CERIMÓNIA,Boné – 2018016,BONÉS DE VERÃO PARA MULHERES,Etiqueta: Fabricado na China,,,BONÉS DE VERÃO PARA MULHERES,"Bordeaux ,","55 , 57",100% Algodão / Forro: 100% Poliéster,Pacote 24,https://hologrammeparis.com/product/casquette-2018016/,,,,,
CERIMÓNIA,Viseira – 23119,BONÉS DE VERÃO PARA MULHERES,Etiqueta: Fabricado na China,,"Paquet de 30 pcs assorties: 2*Rose, 5*Orange, 5*Violet, 6*Bleu, 6*Beige, 6*Noir","SIZE	
One size adjustable","Bege , Bordéus , Marinho , Preto , Rosa , Vermelho",,100% Papel,Pacote 15,https://hologrammeparis.com/product/visiere-23119/,,images/cerimónia/viseira-23119/img_01.jpg,,,
CERIMÓNIA,Boné – 2018039,BONÉS DE INVERNO PARA MULHERES,NÃO TEM MAIS NO ESTOQUE,,"Paquet de 12 pcs assorties: 2*Gris Clair, 1*Gris Fonce, 1*Kaki, 1*Bordeaux, 1*Rouge, 2*Marine, 4*Noir","Fabricado na China, Mistura de lã","Azul , Cinza , Cinza Escuro , Preto , Vermelho , Verde","56 , 58",5% Acrílico – 7% Fibra – 40% Lã – 48% Poliéster,Pacote 12,https://hologrammeparis.com/product/casquette-2018039/,,"images/cerimónia/bone-2018039/img_01.jpg, images/cerimónia/bone-2018039/img_02.jpg, images/cerimónia/bone-2018039/img_03.jpg, images/cerimónia/bone-2018039/img_04.jpg",,,
CERIMÓNIA,Casquette – 22103,BONÉS DE INVERNO PARA MULHERES,14.0,,Paquet de 24 pcs assorties: 2 pcs de chaque couleur,"Fabricado na China, Mistura de lã",Preto,Unico,50% Polyester – 50% Laine,,https://hologrammeparis.com/product/casquette-22103/,,"images/cerimónia/casquette-22103/img_01.jpg, images/cerimónia/casquette-22103/img_02.jpg, images/cerimónia/casquette-22103/img_03.jpg, images/cerimónia/casquette-22103/img_04.jpg",,,
CERIMÓNIA,Casquette – 12448,BONÉS DE INVERNO PARA MULHERES,15.0,,"Paquet de 24 pcs assorties: 2*Moutarde, 2*Marron, 3*Bordeaux, 3*Marine, 3*Vert, 3*Bleu, 3*Taupe, 5*Noir","Fabricado na China, Tamanho ajustável","2*Mostarda, 2*Marrom, 3*Bordéus, 3*Marinho, 3*Verde, 3*Azul, 3*Taupe, 5*Preto",Unico com ajuste (elástico),100% PU,,https://hologrammeparis.com/product/casquette-12448/,,"images/cerimónia/casquette-12448/img_01.jpg, images/cerimónia/casquette-12448/img_02.jpg, images/cerimónia/casquette-12448/img_03.jpg, images/cerimónia/casquette-12448/img_04.jpg, images/cerimónia/casquette-12448/img_05.jpg, images/cerimónia/casquette-12448/img_06.jpg, images/cerimónia/casquette-12448/img_07.jpg, images/cerimónia/casquette-12448/img_08.jpg, images/cerimónia/casquette-12448/img_09.jpg, images/cerimónia/casquette-12448/img_10.jpg, images/cerimónia/casquette-12448/img_11.jpg",,,
CERIMÓNIA,Palha – 12511,CHAPÉUS DE PALHA FEMININOS,"Tags: Fabricado na China , Tamanho ajustável",,Découvrez notre Paille - 12511 au prix de grossiste pour votre boutique sur Hologramme Paris.,"Nossa versão Hologram Paris do chapéu de palha em forma de sino.

Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia","Camel , Cinza , Natural , Preto , Verde",Tamanho único,Palha 100% natural,Unitário,https://hologrammeparis.com/product/paille-12511/,,"images/cerimónia/palha-12511/img_09.jpg, images/cerimónia/palha-12511/img_10.jpg",,,
CERIMÓNIA,Palha – 12512,CHAPÉUS DE PALHA FEMININOS,"Tags: Fabricado na China , Tamanho ajustável",,Découvrez notre Paille - 12512 au prix de grossiste pour votre boutique sur Hologramme Paris.,"Nossa versão Hologram Paris do chapéu de palha em forma de sino.

Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia","Preto, Verde, Natural",Tamanho único,Palha 100% natural,Unitário,https://hologrammeparis.com/product/paille-12512/,,"images/cerimónia/palha-12512/img_01.jpg, images/cerimónia/palha-12512/img_02.jpg, images/cerimónia/palha-12512/img_03.jpg, images/cerimónia/palha-12512/img_04.jpg",,,
CERIMÓNIA,Palha – 12517,CHAPÉUS DE PALHA FEMININOS,"Tags: Fabricado na China , Tamanho ajustável",,"Paquet de 30 pcs assorties: 11*Beige, 7*Camel, 4*Vert, 4*Gris, 4*Noir il reste que du naturel","Nossa versão Hologram Paris do chapéu de palha em forma de sino.

Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia","Cinza, Verde, Natural",Tamanho único,Palha 100% natural,Unitário,https://hologrammeparis.com/product/paille-12517/,,"images/cerimónia/palha-12517/img_01.jpg, images/cerimónia/palha-12517/img_02.jpg, images/cerimónia/palha-12517/img_03.jpg, images/cerimónia/palha-12517/img_04.jpg, images/cerimónia/palha-12517/img_05.jpg, images/cerimónia/palha-12517/img_06.jpg, images/cerimónia/palha-12517/img_07.jpg, images/cerimónia/palha-12517/img_08.jpg, images/cerimónia/palha-12517/img_09.jpg, images/cerimónia/palha-12517/img_10.jpg, images/cerimónia/palha-12517/img_11.jpg, images/cerimónia/palha-12517/img_12.jpg",,,
